Départements,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Var,20253,22204,23538,24102,24003,24096,23710,23857,22111,21688,22167,22861,23030,23379
Vaucluse,8920.97396056731,9118.73356581331,9238.2682333397,9565,9327,9321,9473,9699,6799,10276,9640,9608,9755,10249
Vendée,9831,10276,10758,11477,11677,12605,12950,13257,13678,13476,13506,13399,14179,14298
Vienne,7258.96110315172,7484.2028071028,7587.79868379297,7931,7810,7727,8110,8356,8582,8916,9275,9439,9378,9231
Haute-Vienne,8697,8679,8784,8789,8960,8973,8887,8972,9394,9278,9293,9075,8876,8897
Vosges,6241.91847296298,6636.38505687754,7241.76565929723,7468,7732,7862,7908,8146,8134,7719,7244,7485,7651,8378
Yonne,6886,7078,7336,7437,7343,7508,7705,7866,8205,8088,8268,8426,8512,8444
Territoire de Belfort,2642,2680,2793,2830,2647,2642,2676,2836,2955,2951,3278,3091,3067,3045
Essonne,9148.01608382474,8992.74504331799,9570.34295119752,10138,10692,10650,10949,11125,10733,10374,12550,12997,12687,13250
Hauts-de-Seine,13492.7752173982,14353.7322728813,15016.3138702883,15087.5390177176,15671,16166,16234,16718,16537,16666,16931,16923,16051,15449
Seine-Saint-Denis,15625.8789746732,16686.0407586699,17946.0400874495,18394,18815,19263,19962,20240,20743,20062,21440,22591,24126,23463
Val-de-Marne,11317,12241,12762,14375,14226,15257,15522,15700,16421,16976,17870,17715,18440,18736
Val-d'Oise,9770,10688,11155,11870,12038,12054,12275,11521,11942,12207,12187,12081,12281,12589
